DAY,ITEM_ID,ITEM_NAME,SHIP_DATE,EXPIRY_DATE,QUANTITY,WEIGHT,PRICE,SHELL_LIFE,DAYS_TO_EXPIRY,LAG_1,LAG_2,ROLLING_MEAN,ROLLING_SD,
20,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,953,700 ml,99.00,104.00,51,986,1017,1078.142857,68.67175201,
21,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,921,700 ml,99.00,104.00,51,953,986,1046,66.77324814,
22,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,896,700 ml,99.00,104.00,51,921,953,1014.571429,66.37985925,
23,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,854,700 ml,99.00,104.00,51,896,921,984.4285714,65.31170682,
24,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,814,700 ml,99.00,104.00,51,854,896,952.7142857,67.30456717,
25,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,792,700 ml,99.00,104.00,51,814,854,920.1428571,71.90602333,
26,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,768,700 ml,99.00,104.00,51,792,814,888,71.68216887,
27,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,729,700 ml,99.00,104.00,51,768,792,856.8571429,69.32635038,
28,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,701,700 ml,99.00,104.00,51,729,768,824.8571429,69.24937682,
29,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,682,700 ml,99.00,104.00,51,701,729,793.4285714,68.25896069,
30,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,648,700 ml,99.00,104.00,51,682,701,762.8571429,62.32824018,
31,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,632,700 ml,99.00,104.00,51,648,682,733.4285714,60.7340024,
32,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,614,700 ml,99.00,104.00,51,632,648,707.4285714,59.43583976,
33,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,601,700 ml,99.00,104.00,51,614,632,682,55.14526272,
34,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,584,700 ml,99.00,104.00,51,601,614,658.1428571,47.30549148,
35,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,562,700 ml,99.00,104.00,51,584,601,637.4285714,42.62181422,
36,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,531,700 ml,99.00,104.00,51,562,584,617.5714286,40.38917818,
37,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,507,700 ml,99.00,104.00,51,531,562,596,40.56681731,
38,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,492,700 ml,99.00,104.00,51,507,531,575.8571429,45.18638649,
39,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,477,700 ml,99.00,104.00,51,492,507,555.8571429,47.13607455,
40,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,469,700 ml,99.00,104.00,51,477,492,536.2857143,47.41207401,
41,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,451,700 ml,99.00,104.00,51,469,477,517.4285714,43.46974865,
42,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,444,700 ml,99.00,104.00,51,451,469,498.4285714,38.27905059,
43,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,432,700 ml,99.00,104.00,51,444,451,481.5714286,30.88611955,
44,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,418,700 ml,99.00,104.00,51,432,444,467.4285714,26.88777382,
45,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,407,700 ml,99.00,104.00,51,418,432,454.7142857,26.08776396,
46,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,401,700 ml,99.00,104.00,51,407,418,442.5714286,25.61807398,
47,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,389,700 ml,99.00,104.00,51,401,407,431.7142857,24.68274894,
48,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,368,700 ml,99.00,104.00,51,389,401,420.2857143,23.0051754,
49,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,359,700 ml,99.00,104.00,51,368,389,408.4285714,25.76080448,
50,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,351,700 ml,99.00,104.00,51,359,368,396.2857143,26.22793858,
51,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,344,700 ml,99.00,104.00,51,351,359,384.7142857,25.70806803,
52,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,321,700 ml,99.00,104.00,51,344,351,374.1428571,24.94279169,
53,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,311,700 ml,99.00,104.00,51,321,344,361.8571429,27.14423555,
54,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,298,700 ml,99.00,104.00,51,311,321,349,26.82660371,
55,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,257,700 ml,99.00,104.00,51,298,311,336,26.25515822,
56,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,224,700 ml,99.00,104.00,51,257,298,320.1428571,35.57353216,
57,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,198,700 ml,99.00,104.00,51,224,257,300.8571429,46.04862854,
58,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,142,700 ml,99.00,104.00,51,198,224,279,53.91969337,
59,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,117,700 ml,99.00,104.00,51,142,198,250.1428571,66.02885372,
60,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,94,700 ml,99.00,104.00,51,117,142,NA,NA,
1,102,Set of Black Boxes,2024-07-23,NA,150,4 Pieces,120.00,104.00,NA,NA,NA,NA,NA,
2,102,Set of Black Boxes,2024-07-23,NA,148,4 Pieces,120.00,104.00,NA,150,NA,NA,NA,
3,102,Set of Black Boxes,2024-07-23,NA,148,4 Pieces,120.00,104.00,NA,148,150,NA,NA,
4,102,Set of Black Boxes,2024-07-23,NA,147,4 Pieces,120.00,104.00,NA,148,148,NA,NA,
5,102,Set of Black Boxes,2024-07-23,NA,142,4 Pieces,120.00,104.00,NA,147,148,NA,NA,
6,102,Set of Black Boxes,2024-07-23,NA,141,4 Pieces,120.00,104.00,NA,142,147,NA,NA,
7,102,Set of Black Boxes,2024-07-23,NA,141,4 Pieces,120.00,104.00,NA,141,142,138.5714286,19.93202735,
8,102,Set of Black Boxes,2024-07-23,NA,139,4 Pieces,120.00,104.00,NA,141,141,145.2857143,3.817254062,
9,102,Set of Black Boxes,2024-07-23,NA,139,4 Pieces,120.00,104.00,NA,139,141,143.7142857,3.817254062,
10,102,Set of Black Boxes,2024-07-23,NA,137,4 Pieces,120.00,104.00,NA,139,139,142.4285714,3.644957378,
11,102,Set of Black Boxes,2024-07-23,NA,137,4 Pieces,120.00,104.00,NA,137,139,140.8571429,3.184785259,
12,102,Set of Black Boxes,2024-07-23,NA,136,4 Pieces,120.00,104.00,NA,137,137,139.4285714,1.988059595,
13,102,Set of Black Boxes,2024-07-23,NA,136,4 Pieces,120.00,104.00,NA,136,137,138.5714286,1.988059595,
14,102,Set of Black Boxes,2024-07-23,NA,136,4 Pieces,120.00,104.00,NA,136,136,137.8571429,1.864454471,
15,102,Set of Black Boxes,2024-07-23,NA,132,4 Pieces,120.00,104.00,NA,136,136,137.1428571,1.345185418,
16,102,Set of Black Boxes,2024-07-23,NA,132,4 Pieces,120.00,104.00,NA,132,136,136.1428571,2.115700942,
17,102,Set of Black Boxes,2024-07-23,NA,131,4 Pieces,120.00,104.00,NA,132,132,135.1428571,2.193062655,
18,102,Set of Black Boxes,2024-07-23,NA,124,4 Pieces,120.00,104.00,NA,131,132,134.2857143,2.497617913,
19,102,Set of Black Boxes,2024-07-23,NA,123,4 Pieces,120.00,104.00,NA,124,131,132.4285714,4.314979446,
20,102,Set of Black Boxes,2024-07-23,NA,123,4 Pieces,120.00,104.00,NA,123,124,130.5714286,5.223572943,
21,102,Set of Black Boxes,2024-07-23,NA,123,4 Pieces,120.00,104.00,NA,123,123,128.7142857,5.282495803,
22,102,Set of Black Boxes,2024-07-23,NA,122,4 Pieces,120.00,104.00,NA,123,123,126.8571429,4.525062483,
23,102,Set of Black Boxes,2024-07-23,NA,121,4 Pieces,120.00,104.00,NA,122,123,125.4285714,4.197504928,
24,102,Set of Black Boxes,2024-07-23,NA,121,4 Pieces,120.00,104.00,NA,121,122,123.8571429,3.287784027,
25,102,Set of Black Boxes,2024-07-23,NA,120,4 Pieces,120.00,104.00,NA,121,121,122.4285714,1.133893419,
26,102,Set of Black Boxes,2024-07-23,NA,119,4 Pieces,120.00,104.00,NA,120,121,121.8571429,1.214985793,
27,102,Set of Black Boxes,2024-07-23,NA,119,4 Pieces,120.00,104.00,NA,119,120,121.2857143,1.496026483,
28,102,Set of Black Boxes,2024-07-23,NA,118,4 Pieces,120.00,104.00,NA,119,119,120.7142857,1.496026483,
29,102,Set of Black Boxes,2024-07-23,NA,115,4 Pieces,120.00,104.00,NA,118,119,120,1.414213562,
30,102,Set of Black Boxes,2024-07-23,NA,110,4 Pieces,120.00,104.00,NA,115,118,119,2.081665999,
31,102,Set of Black Boxes,2024-07-23,NA,110,4 Pieces,120.00,104.00,NA,110,115,117.4285714,3.77964473,
32,102,Set of Black Boxes,2024-07-23,NA,110,4 Pieces,120.00,104.00,NA,110,110,115.8571429,4.298393941,
33,102,Set of Black Boxes,2024-07-23,NA,108,4 Pieces,120.00,104.00,NA,110,110,114.4285714,4.353433237,
34,102,Set of Black Boxes,2024-07-23,NA,107,4 Pieces,120.00,104.00,NA,108,110,112.8571429,4.413183712,
35,102,Set of Black Boxes,2024-07-23,NA,105,4 Pieces,120.00,104.00,NA,107,108,111.1428571,3.933978962,
36,102,Set of Black Boxes,2024-07-23,NA,102,4 Pieces,120.00,104.00,NA,105,107,109.2857143,3.14718317,
37,102,Set of Black Boxes,2024-07-23,NA,102,4 Pieces,120.00,104.00,NA,102,105,107.4285714,3.047247001,
38,102,Set of Black Boxes,2024-07-23,NA,101,4 Pieces,120.00,104.00,NA,102,102,106.2857143,3.401680257,
39,102,Set of Black Boxes,2024-07-23,NA,100,4 Pieces,120.00,104.00,NA,101,102,105,3.464101615,
40,102,Set of Black Boxes,2024-07-23,NA,98,4 Pieces,120.00,104.00,NA,100,101,103.5714286,3.10145895,
41,102,Set of Black Boxes,2024-07-23,NA,97,4 Pieces,120.00,104.00,NA,98,100,102.1428571,3.023715784,
42,102,Set of Black Boxes,2024-07-23,NA,95,4 Pieces,120.00,104.00,NA,97,98,100.7142857,2.690370837,
43,102,Set of Black Boxes,2024-07-23,NA,94,4 Pieces,120.00,104.00,NA,95,97,99.28571429,2.690370837,
44,102,Set of Black Boxes,2024-07-23,NA,94,4 Pieces,120.00,104.00,NA,94,95,98.14285714,3.023715784,
45,102,Set of Black Boxes,2024-07-23,NA,93,4 Pieces,120.00,104.00,NA,94,94,97,2.828427125,
46,102,Set of Black Boxes,2024-07-23,NA,92,4 Pieces,120.00,104.00,NA,93,94,95.85714286,2.544836041,
47,102,Set of Black Boxes,2024-07-23,NA,92,4 Pieces,120.00,104.00,NA,92,93,94.71428571,2.138089935,
48,102,Set of Black Boxes,2024-07-23,NA,92,4 Pieces,120.00,104.00,NA,92,92,93.85714286,1.772810521,
49,102,Set of Black Boxes,2024-07-23,NA,91,4 Pieces,120.00,104.00,NA,92,92,93.14285714,1.214985793,
50,102,Set of Black Boxes,2024-07-23,NA,90,4 Pieces,120.00,104.00,NA,91,92,92.57142857,1.133893419,
51,102,Set of Black Boxes,2024-07-23,NA,88,4 Pieces,120.00,104.00,NA,90,91,92,1.290994449,
52,102,Set of Black Boxes,2024-07-23,NA,84,4 Pieces,120.00,104.00,NA,88,90,91.14285714,1.67616342,
53,102,Set of Black Boxes,2024-07-23,NA,84,4 Pieces,120.00,104.00,NA,84,88,89.85714286,2.968084199,
54,102,Set of Black Boxes,2024-07-23,NA,83,4 Pieces,120.00,104.00,NA,84,84,88.71428571,3.498298906,
55,102,Set of Black Boxes,2024-07-23,NA,82,4 Pieces,120.00,104.00,NA,83,84,87.42857143,3.735288604,
56,102,Set of Black Boxes,2024-07-23,NA,81,4 Pieces,120.00,104.00,NA,82,83,86,3.605551275,
57,102,Set of Black Boxes,2024-07-23,NA,80,4 Pieces,120.00,104.00,NA,81,82,84.57142857,3.258688021,
58,102,Set of Black Boxes,2024-07-23,NA,80,4 Pieces,120.00,104.00,NA,80,81,83.14285714,2.60950643,
59,102,Set of Black Boxes,2024-07-23,NA,77,4 Pieces,120.00,104.00,NA,80,80,82,1.732050808,
60,102,Set of Black Boxes,2024-07-23,NA,75,4 Pieces,120.00,104.00,NA,77,80,NA,NA,
1,103,Nestle Yogurt,2024-07-23,2024-11-27,900,150 gms,70.00,104.00,23,NA,NA,NA,NA,
2,103,Nestle Yogurt,2024-07-23,2024-11-27,880,150 gms,70.00,104.00,23,900,NA,NA,NA,
3,103,Nestle Yogurt,2024-07-23,2024-11-27,880,150 gms,70.00,104.00,23,880,900,NA,NA,
4,103,Nestle Yogurt,2024-07-23,2024-11-27,874,150 gms,70.00,104.00,23,880,880,NA,NA,
5,103,Nestle Yogurt,2024-07-23,2024-11-27,862,150 gms,70.00,104.00,23,874,880,NA,NA,
6,103,Nestle Yogurt,2024-07-23,2024-11-27,855,150 gms,70.00,104.00,23,862,874,NA,NA,
7,103,Nestle Yogurt,2024-07-23,2024-11-27,851,150 gms,70.00,104.00,23,855,862,760.8571429,302.7773817,
8,103,Nestle Yogurt,2024-07-23,2024-11-27,847,150 gms,70.00,104.00,23,851,855,871.7142857,17.0559304,
9,103,Nestle Yogurt,2024-07-23,2024-11-27,839,150 gms,70.00,104.00,23,847,851,864.1428571,13.87357886,
10,103,Nestle Yogurt,2024-07-23,2024-11-27,831,150 gms,70.00,104.00,23,839,847,858.2857143,14.69369803,
11,103,Nestle Yogurt,2024-07-23,2024-11-27,826,150 gms,70.00,104.00,23,831,839,851.2857143,14.29118943,
12,103,Nestle Yogurt,2024-07-23,2024-11-27,820,150 gms,70.00,104.00,23,826,831,844.4285714,13.03657858,
13,103,Nestle Yogurt,2024-07-23,2024-11-27,812,150 gms,70.00,104.00,23,820,826,838.4285714,13.26470433,
14,103,Nestle Yogurt,2024-07-23,2024-11-27,806,150 gms,70.00,104.00,23,812,820,832.2857143,14.23275899,
15,103,Nestle Yogurt,2024-07-23,2024-11-27,799,150 gms,70.00,104.00,23,806,812,825.8571429,14.53075556,
16,103,Nestle Yogurt,2024-07-23,2024-11-27,792,150 gms,70.00,104.00,23,799,806,819,14.2126704,
17,103,Nestle Yogurt,2024-07-23,2024-11-27,784,150 gms,70.00,104.00,23,792,799,812.2857143,14.29118943,
18,103,Nestle Yogurt,2024-07-23,2024-11-27,780,150 gms,70.00,104.00,23,784,792,805.5714286,15.05387152,
19,103,Nestle Yogurt,2024-07-23,2024-11-27,774,150 gms,70.00,104.00,23,780,784,799,14.68559385,
20,103,Nestle Yogurt,2024-07-23,2024-11-27,770,150 gms,70.00,104.00,23,774,780,792.4285714,13.99829922,
21,103,Nestle Yogurt,2024-07-23,2024-11-27,762,150 gms,70.00,104.00,23,770,774,786.4285714,13.18910084,
22,103,Nestle Yogurt,2024-07-23,2024-11-27,755,150 gms,70.00,104.00,23,762,770,780.1428571,12.78578079,
23,103,Nestle Yogurt,2024-07-23,2024-11-27,751,150 gms,70.00,104.00,23,755,762,773.8571429,12.78578079,
24,103,Nestle Yogurt,2024-07-23,2024-11-27,742,150 gms,70.00,104.00,23,751,755,768,12.47664485,
25,103,Nestle Yogurt,2024-07-23,2024-11-27,734,150 gms,70.00,104.00,23,742,751,762,13.55236757,
26,103,Nestle Yogurt,2024-07-23,2024-11-27,721,150 gms,70.00,104.00,23,734,742,755.4285714,14.48973364,
27,103,Nestle Yogurt,2024-07-23,2024-11-27,702,150 gms,70.00,104.00,23,721,734,747.8571429,16.82684929,
28,103,Nestle Yogurt,2024-07-23,2024-11-27,684,150 gms,70.00,104.00,23,702,721,738.1428571,21.01926554,
29,103,Nestle Yogurt,2024-07-23,2024-11-27,655,150 gms,70.00,104.00,23,684,702,727,26.28053779,
30,103,Nestle Yogurt,2024-07-23,2024-11-27,641,150 gms,70.00,104.00,23,655,684,712.7142857,34.43696795,
31,103,Nestle Yogurt,2024-07-23,2024-11-27,623,150 gms,70.00,104.00,23,641,655,697,38.86729559,
32,103,Nestle Yogurt,2024-07-23,2024-11-27,607,150 gms,70.00,104.00,23,623,641,680,41.81706191,
33,103,Nestle Yogurt,2024-07-23,2024-11-27,598,150 gms,70.00,104.00,23,607,623,661.8571429,42.0334334,
34,103,Nestle Yogurt,2024-07-23,2024-11-27,577,150 gms,70.00,104.00,23,598,607,644.2857143,38.77161456,
35,103,Nestle Yogurt,2024-07-23,2024-11-27,539,150 gms,70.00,104.00,23,577,598,626.4285714,36.47765134,
36,103,Nestle Yogurt,2024-07-23,2024-11-27,521,150 gms,70.00,104.00,23,539,577,605.7142857,39.38999148,
37,103,Nestle Yogurt,2024-07-23,2024-11-27,504,150 gms,70.00,104.00,23,521,539,586.5714286,43.76397736,
38,103,Nestle Yogurt,2024-07-23,2024-11-27,487,150 gms,70.00,104.00,23,504,521,567,45.94562003,
39,103,Nestle Yogurt,2024-07-23,2024-11-27,445,150 gms,70.00,104.00,23,487,504,547.5714286,47.05973914,
40,103,Nestle Yogurt,2024-07-23,2024-11-27,432,150 gms,70.00,104.00,23,445,487,524.4285714,52.48446482,
41,103,Nestle Yogurt,2024-07-23,2024-11-27,420,150 gms,70.00,104.00,23,432,445,500.7142857,51.1882613,
42,103,Nestle Yogurt,2024-07-23,2024-11-27,411,150 gms,70.00,104.00,23,420,432,478.2857143,46.35987592,
43,103,Nestle Yogurt,2024-07-23,2024-11-27,402,150 gms,70.00,104.00,23,411,420,460,43.58134157,
44,103,Nestle Yogurt,2024-07-23,2024-11-27,398,150 gms,70.00,104.00,23,402,411,443,38.76424469,
45,103,Nestle Yogurt,2024-07-23,2024-11-27,374,150 gms,70.00,104.00,23,398,402,427.8571429,30.86221299,
46,103,Nestle Yogurt,2024-07-23,2024-11-27,362,150 gms,70.00,104.00,23,374,398,411.7142857,23.42871661,
47,103,Nestle Yogurt,2024-07-23,2024-11-27,357,150 gms,70.00,104.00,23,362,374,399.8571429,24.74152091,
48,103,Nestle Yogurt,2024-07-23,2024-11-27,332,150 gms,70.00,104.00,23,357,362,389.1428571,24.74152091,
49,103,Nestle Yogurt,2024-07-23,2024-11-27,320,150 gms,70.00,104.00,23,332,357,376.5714286,28.51816464,
50,103,Nestle Yogurt,2024-07-23,2024-11-27,311,150 gms,70.00,104.00,23,320,332,363.5714286,30.85372556,
51,103,Nestle Yogurt,2024-07-23,2024-11-27,302,150 gms,70.00,104.00,23,311,320,350.5714286,31.13335373,
52,103,Nestle Yogurt,2024-07-23,2024-11-27,295,150 gms,70.00,104.00,23,302,311,336.8571429,27.71539026,
53,103,Nestle Yogurt,2024-07-23,2024-11-27,281,150 gms,70.00,104.00,23,295,302,325.5714286,26.10783499,
54,103,Nestle Yogurt,2024-07-23,2024-11-27,274,150 gms,70.00,104.00,23,281,295,314,25.20581943,
55,103,Nestle Yogurt,2024-07-23,2024-11-27,270,150 gms,70.00,104.00,23,274,281,302.1428571,20.73184806,
56,103,Nestle Yogurt,2024-07-23,2024-11-27,259,150 gms,70.00,104.00,23,270,274,293.2857143,19.02379462,
57,103,Nestle Yogurt,2024-07-23,2024-11-27,240,150 gms,70.00,104.00,23,259,270,284.5714286,18.71592141,
58,103,Nestle Yogurt,2024-07-23,2024-11-27,221,150 gms,70.00,104.00,23,240,259,274.4285714,21.0938944,
59,103,Nestle Yogurt,2024-07-23,2024-11-27,207,150 gms,70.00,104.00,23,221,240,262.8571429,25.25489109,
60,103,Nestle Yogurt,2024-07-23,2024-11-27,189,150 gms,70.00,104.00,23,207,221,NA,NA,
1,104,Saffola Mayonnaise,2024-07-23,2025-01-10,350,500 gms,180.00,104.00,67,NA,NA,NA,NA,
2,104,Saffola Mayonnaise,2024-07-23,2025-01-10,348,500 gms,180.00,104.00,67,350,NA,NA,NA,
3,104,Saffola Mayonnaise,2024-07-23,2025-01-10,348,500 gms,180.00,104.00,67,348,350,NA,NA,
4,104,Saffola Mayonnaise,2024-07-23,2025-01-10,347,500 gms,180.00,104.00,67,348,348,NA,NA,
5,104,Saffola Mayonnaise,2024-07-23,2025-01-10,347,500 gms,180.00,104.00,67,347,348,NA,NA,
6,104,Saffola Mayonnaise,2024-07-23,2025-01-10,344,500 gms,180.00,104.00,67,347,347,NA,NA,
7,104,Saffola Mayonnaise,2024-07-23,2025-01-10,343,500 gms,180.00,104.00,67,344,347,324.7142857,59.87129052,
8,104,Saffola Mayonnaise,2024-07-23,2025-01-10,341,500 gms,180.00,104.00,67,343,344,346.7142857,2.429971585,
9,104,Saffola Mayonnaise,2024-07-23,2025-01-10,341,500 gms,180.00,104.00,67,341,343,345.4285714,2.760262237,
10,104,Saffola Mayonnaise,2024-07-23,2025-01-10,341,500 gms,180.00,104.00,67,341,341,344.4285714,2.935821456,
11,104,Saffola Mayonnaise,2024-07-23,2025-01-10,340,500 gms,180.00,104.00,67,341,341,343.4285714,2.699206233,
12,104,Saffola Mayonnaise,2024-07-23,2025-01-10,337,500 gms,180.00,104.00,67,340,341,342.4285714,2.439750182,
13,104,Saffola Mayonnaise,2024-07-23,2025-01-10,337,500 gms,180.00,104.00,67,337,340,341,2.236067977,
14,104,Saffola Mayonnaise,2024-07-23,2025-01-10,335,500 gms,180.00,104.00,67,337,337,340,2.236067977,
15,104,Saffola Mayonnaise,2024-07-23,2025-01-10,332,500 gms,180.00,104.00,67,335,337,338.8571429,2.478478796,
16,104,Saffola Mayonnaise,2024-07-23,2025-01-10,331,500 gms,180.00,104.00,67,332,335,337.5714286,3.359421719,
17,104,Saffola Mayonnaise,2024-07-23,2025-01-10,330,500 gms,180.00,104.00,67,331,332,336.1428571,3.760699023,
18,104,Saffola Mayonnaise,2024-07-23,2025-01-10,330,500 gms,180.00,104.00,67,330,331,334.5714286,3.690399385,
19,104,Saffola Mayonnaise,2024-07-23,2025-01-10,324,500 gms,180.00,104.00,67,330,330,333.1428571,3.132015934,
20,104,Saffola Mayonnaise,2024-07-23,2025-01-10,324,500 gms,180.00,104.00,67,324,330,331.2857143,4.151878519,
21,104,Saffola Mayonnaise,2024-07-23,2025-01-10,323,500 gms,180.00,104.00,67,324,324,329.4285714,4.076646614,
22,104,Saffola Mayonnaise,2024-07-23,2025-01-10,322,500 gms,180.00,104.00,67,323,324,327.7142857,3.860668583,
23,104,Saffola Mayonnaise,2024-07-23,2025-01-10,322,500 gms,180.00,104.00,67,322,323,326.2857143,3.860668583,
24,104,Saffola Mayonnaise,2024-07-23,2025-01-10,321,500 gms,180.00,104.00,67,322,322,325,3.511884584,
25,104,Saffola Mayonnaise,2024-07-23,2025-01-10,321,500 gms,180.00,104.00,67,321,322,323.7142857,2.984084768,
26,104,Saffola Mayonnaise,2024-07-23,2025-01-10,320,500 gms,180.00,104.00,67,321,321,322.4285714,1.272418021,
27,104,Saffola Mayonnaise,2024-07-23,2025-01-10,319,500 gms,180.00,104.00,67,320,321,321.8571429,1.345185418,
28,104,Saffola Mayonnaise,2024-07-23,2025-01-10,319,500 gms,180.00,104.00,67,319,320,321.1428571,1.345185418,
29,104,Saffola Mayonnaise,2024-07-23,2025-01-10,318,500 gms,180.00,104.00,67,319,319,320.5714286,1.272418021,
30,104,Saffola Mayonnaise,2024-07-23,2025-01-10,318,500 gms,180.00,104.00,67,318,319,320,1.414213562,
31,104,Saffola Mayonnaise,2024-07-23,2025-01-10,317,500 gms,180.00,104.00,67,318,318,319.4285714,1.272418021,
32,104,Saffola Mayonnaise,2024-07-23,2025-01-10,317,500 gms,180.00,104.00,67,317,318,318.8571429,1.345185418,
33,104,Saffola Mayonnaise,2024-07-23,2025-01-10,316,500 gms,180.00,104.00,67,317,317,318.2857143,1.112697281,
34,104,Saffola Mayonnaise,2024-07-23,2025-01-10,314,500 gms,180.00,104.00,67,316,317,317.7142857,1.112697281,
35,104,Saffola Mayonnaise,2024-07-23,2025-01-10,314,500 gms,180.00,104.00,67,314,316,317,1.632993162,
36,104,Saffola Mayonnaise,2024-07-23,2025-01-10,312,500 gms,180.00,104.00,67,314,314,316.2857143,1.704336206,
37,104,Saffola Mayonnaise,2024-07-23,2025-01-10,311,500 gms,180.00,104.00,67,312,314,315.4285714,2.149196971,
38,104,Saffola Mayonnaise,2024-07-23,2025-01-10,310,500 gms,180.00,104.00,67,311,312,314.4285714,2.370453041,
39,104,Saffola Mayonnaise,2024-07-23,2025-01-10,304,500 gms,180.00,104.00,67,310,311,313.4285714,2.572750983,
40,104,Saffola Mayonnaise,2024-07-23,2025-01-10,301,500 gms,180.00,104.00,67,304,310,311.5714286,3.90969491,
41,104,Saffola Mayonnaise,2024-07-23,2025-01-10,300,500 gms,180.00,104.00,67,301,304,309.4285714,5.028490259,
