DAY,ITEM_ID,ITEM_NAME,SHIP_DATE,EXPIRY_DATE,QUANTITY,WEIGHT,PRICE,SHELL_LIFE,DAYS_TO_EXPIRY,LAG_1,LAG_2,ROLLING_MEAN,ROLLING_SD
19,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,986,700 ml,99.00,62.00,93,1017,1042,1109.14285714286,69.1217008168167
20,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,953,700 ml,99.00,62.00,93,986,1017,1078.14285714286,68.671752007718
21,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,921,700 ml,99.00,62.00,93,953,986,1046,66.7732481362609
22,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,896,700 ml,99.00,62.00,93,921,953,1014.57142857143,66.3798592517769
23,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,854,700 ml,99.00,62.00,93,896,921,984.428571428571,65.3117068190615
24,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,814,700 ml,99.00,62.00,93,854,896,952.714285714286,67.3045671697305
25,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,792,700 ml,99.00,62.00,93,814,854,920.142857142857,71.9060233254224
26,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,768,700 ml,99.00,62.00,93,792,814,888,71.6821688659972
27,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,729,700 ml,99.00,62.00,93,768,792,856.857142857143,69.3263503809544
28,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,701,700 ml,99.00,62.00,93,729,768,824.857142857143,69.2493768237389
29,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,682,700 ml,99.00,62.00,93,701,729,793.428571428571,68.2589606885844
30,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,648,700 ml,99.00,62.00,93,682,701,762.857142857143,62.3282401789873
31,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,632,700 ml,99.00,62.00,93,648,682,733.428571428571,60.734002400789
32,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,614,700 ml,99.00,62.00,93,632,648,707.428571428571,59.4358397569938
33,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,601,700 ml,99.00,62.00,93,614,632,682,55.145262715849
34,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,584,700 ml,99.00,62.00,93,601,614,658.142857142857,47.3054914762496
35,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,562,700 ml,99.00,62.00,93,584,601,637.428571428571,42.6218142225205
36,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,531,700 ml,99.00,62.00,93,562,584,617.571428571429,40.3891781828464
37,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,507,700 ml,99.00,62.00,93,531,562,596,40.5668173100462
38,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,492,700 ml,99.00,62.00,93,507,531,575.857142857143,45.1863864876306
39,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,477,700 ml,99.00,62.00,93,492,507,555.857142857143,47.1360745481582
40,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,469,700 ml,99.00,62.00,93,477,492,536.285714285714,47.4120740097368
41,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,451,700 ml,99.00,62.00,93,469,477,517.428571428571,43.4697486491358
42,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,444,700 ml,99.00,62.00,93,451,469,498.428571428571,38.2790505927944
43,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,432,700 ml,99.00,62.00,93,444,451,481.571428571429,30.8861195515458
44,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,418,700 ml,99.00,62.00,93,432,444,467.428571428571,26.8877738191986
45,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,407,700 ml,99.00,62.00,93,418,432,454.714285714286,26.0877639626594
46,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,401,700 ml,99.00,62.00,93,407,418,442.571428571429,25.618073976896
47,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,389,700 ml,99.00,62.00,93,401,407,431.714285714286,24.6827489400613
48,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,368,700 ml,99.00,62.00,93,389,401,420.285714285714,23.0051754011591
49,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,359,700 ml,99.00,62.00,93,368,389,408.428571428571,25.7608044831494
50,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,351,700 ml,99.00,62.00,93,359,368,396.285714285714,26.2279385752057
51,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,344,700 ml,99.00,62.00,93,351,359,384.714285714286,25.7080680313547
52,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,321,700 ml,99.00,62.00,93,344,351,374.142857142857,24.9427916870357
53,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,311,700 ml,99.00,62.00,93,321,344,361.857142857143,27.1442355539721
54,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,298,700 ml,99.00,62.00,93,311,321,349,26.8266037109931
55,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,257,700 ml,99.00,62.00,93,298,311,336,26.2551582233536
56,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,224,700 ml,99.00,62.00,93,257,298,320.142857142857,35.5735321619345
57,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,198,700 ml,99.00,62.00,93,224,257,300.857142857143,46.0486285406655
58,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,142,700 ml,99.00,62.00,93,198,224,279,53.9196933720263
59,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,117,700 ml,99.00,62.00,93,142,198,250.142857142857,66.0288537217596
60,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,94,700 ml,99.00,62.00,93,117,142,NA,NA
1,102,Set of Black Boxes,2024/07/23,NA,150,4 Pieces,120.00,62.00,NA,NA,NA,NA,NA
2,102,Set of Black Boxes,2024/07/23,NA,148,4 Pieces,120.00,62.00,NA,150,NA,NA,NA
3,102,Set of Black Boxes,2024/07/23,NA,148,4 Pieces,120.00,62.00,NA,148,150,NA,NA
4,102,Set of Black Boxes,2024/07/23,NA,147,4 Pieces,120.00,62.00,NA,148,148,NA,NA
5,102,Set of Black Boxes,2024/07/23,NA,142,4 Pieces,120.00,62.00,NA,147,148,NA,NA
6,102,Set of Black Boxes,2024/07/23,NA,141,4 Pieces,120.00,62.00,NA,142,147,NA,NA
7,102,Set of Black Boxes,2024/07/23,NA,141,4 Pieces,120.00,62.00,NA,141,142,138.571428571429,19.9320273501145
8,102,Set of Black Boxes,2024/07/23,NA,139,4 Pieces,120.00,62.00,NA,141,141,145.285714285714,3.81725406168211
9,102,Set of Black Boxes,2024/07/23,NA,139,4 Pieces,120.00,62.00,NA,139,141,143.714285714286,3.81725406168211
10,102,Set of Black Boxes,2024/07/23,NA,137,4 Pieces,120.00,62.00,NA,139,139,142.428571428571,3.64495737776374
11,102,Set of Black Boxes,2024/07/23,NA,137,4 Pieces,120.00,62.00,NA,137,139,140.857142857143,3.18478525851542
12,102,Set of Black Boxes,2024/07/23,NA,136,4 Pieces,120.00,62.00,NA,137,137,139.428571428571,1.98805959477601
13,102,Set of Black Boxes,2024/07/23,NA,136,4 Pieces,120.00,62.00,NA,136,137,138.571428571429,1.98805959477601
14,102,Set of Black Boxes,2024/07/23,NA,136,4 Pieces,120.00,62.00,NA,136,136,137.857142857143,1.86445447147161
15,102,Set of Black Boxes,2024/07/23,NA,132,4 Pieces,120.00,62.00,NA,136,136,137.142857142857,1.3451854182691
16,102,Set of Black Boxes,2024/07/23,NA,132,4 Pieces,120.00,62.00,NA,132,136,136.142857142857,2.11570094204982
17,102,Set of Black Boxes,2024/07/23,NA,131,4 Pieces,120.00,62.00,NA,132,132,135.142857142857,2.19306265517513
18,102,Set of Black Boxes,2024/07/23,NA,124,4 Pieces,120.00,62.00,NA,131,132,134.285714285714,2.49761791275112
19,102,Set of Black Boxes,2024/07/23,NA,123,4 Pieces,120.00,62.00,NA,124,131,132.428571428571,4.31497944595888
20,102,Set of Black Boxes,2024/07/23,NA,123,4 Pieces,120.00,62.00,NA,123,124,130.571428571429,5.22357294250921
21,102,Set of Black Boxes,2024/07/23,NA,123,4 Pieces,120.00,62.00,NA,123,123,128.714285714286,5.28249580262606
22,102,Set of Black Boxes,2024/07/23,NA,122,4 Pieces,120.00,62.00,NA,123,123,126.857142857143,4.52506248312556
23,102,Set of Black Boxes,2024/07/23,NA,121,4 Pieces,120.00,62.00,NA,122,123,125.428571428571,4.19750492781695
24,102,Set of Black Boxes,2024/07/23,NA,121,4 Pieces,120.00,62.00,NA,121,122,123.857142857143,3.28778402720188
25,102,Set of Black Boxes,2024/07/23,NA,120,4 Pieces,120.00,62.00,NA,121,121,122.428571428571,1.13389341902768
26,102,Set of Black Boxes,2024/07/23,NA,119,4 Pieces,120.00,62.00,NA,120,121,121.857142857143,1.21498579258791
27,102,Set of Black Boxes,2024/07/23,NA,119,4 Pieces,120.00,62.00,NA,119,120,121.285714285714,1.49602648308619
28,102,Set of Black Boxes,2024/07/23,NA,118,4 Pieces,120.00,62.00,NA,119,119,120.714285714286,1.49602648308619
29,102,Set of Black Boxes,2024/07/23,NA,115,4 Pieces,120.00,62.00,NA,118,119,120,1.4142135623731
30,102,Set of Black Boxes,2024/07/23,NA,110,4 Pieces,120.00,62.00,NA,115,118,119,2.08166599946613
31,102,Set of Black Boxes,2024/07/23,NA,110,4 Pieces,120.00,62.00,NA,110,115,117.428571428571,3.77964473009227
32,102,Set of Black Boxes,2024/07/23,NA,110,4 Pieces,120.00,62.00,NA,110,110,115.857142857143,4.29839394148448
33,102,Set of Black Boxes,2024/07/23,NA,108,4 Pieces,120.00,62.00,NA,110,110,114.428571428571,4.35343323738644
34,102,Set of Black Boxes,2024/07/23,NA,107,4 Pieces,120.00,62.00,NA,108,110,112.857142857143,4.4131837120372
35,102,Set of Black Boxes,2024/07/23,NA,105,4 Pieces,120.00,62.00,NA,107,108,111.142857142857,3.93397896234722
36,102,Set of Black Boxes,2024/07/23,NA,102,4 Pieces,120.00,62.00,NA,105,107,109.285714285714,3.14718316987777
37,102,Set of Black Boxes,2024/07/23,NA,102,4 Pieces,120.00,62.00,NA,102,105,107.428571428571,3.04724700110022
38,102,Set of Black Boxes,2024/07/23,NA,101,4 Pieces,120.00,62.00,NA,102,102,106.285714285714,3.40168025708305
39,102,Set of Black Boxes,2024/07/23,NA,100,4 Pieces,120.00,62.00,NA,101,102,105,3.46410161513775
40,102,Set of Black Boxes,2024/07/23,NA,98,4 Pieces,120.00,62.00,NA,100,101,103.571428571429,3.10145895008263
41,102,Set of Black Boxes,2024/07/23,NA,97,4 Pieces,120.00,62.00,NA,98,100,102.142857142857,3.02371578407382
42,102,Set of Black Boxes,2024/07/23,NA,95,4 Pieces,120.00,62.00,NA,97,98,100.714285714286,2.6903708365382
43,102,Set of Black Boxes,2024/07/23,NA,94,4 Pieces,120.00,62.00,NA,95,97,99.2857142857143,2.6903708365382
44,102,Set of Black Boxes,2024/07/23,NA,94,4 Pieces,120.00,62.00,NA,94,95,98.1428571428571,3.02371578407382
45,102,Set of Black Boxes,2024/07/23,NA,93,4 Pieces,120.00,62.00,NA,94,94,97,2.82842712474619
46,102,Set of Black Boxes,2024/07/23,NA,92,4 Pieces,120.00,62.00,NA,93,94,95.8571428571429,2.54483604112141
47,102,Set of Black Boxes,2024/07/23,NA,92,4 Pieces,120.00,62.00,NA,92,93,94.7142857142857,2.13808993529939
48,102,Set of Black Boxes,2024/07/23,NA,92,4 Pieces,120.00,62.00,NA,92,92,93.8571428571429,1.77281052085584
49,102,Set of Black Boxes,2024/07/23,NA,91,4 Pieces,120.00,62.00,NA,92,92,93.1428571428571,1.21498579258791
50,102,Set of Black Boxes,2024/07/23,NA,90,4 Pieces,120.00,62.00,NA,91,92,92.5714285714286,1.13389341902768
51,102,Set of Black Boxes,2024/07/23,NA,88,4 Pieces,120.00,62.00,NA,90,91,92,1.29099444873581
52,102,Set of Black Boxes,2024/07/23,NA,84,4 Pieces,120.00,62.00,NA,88,90,91.1428571428571,1.67616341969505
53,102,Set of Black Boxes,2024/07/23,NA,84,4 Pieces,120.00,62.00,NA,84,88,89.8571428571429,2.96808419852332
54,102,Set of Black Boxes,2024/07/23,NA,83,4 Pieces,120.00,62.00,NA,84,84,88.7142857142857,3.49829890633937
55,102,Set of Black Boxes,2024/07/23,NA,82,4 Pieces,120.00,62.00,NA,83,84,87.4285714285714,3.73528860362636
56,102,Set of Black Boxes,2024/07/23,NA,81,4 Pieces,120.00,62.00,NA,82,83,86,3.60555127546399
57,102,Set of Black Boxes,2024/07/23,NA,80,4 Pieces,120.00,62.00,NA,81,82,84.5714285714286,3.25868802112869
58,102,Set of Black Boxes,2024/07/23,NA,80,4 Pieces,120.00,62.00,NA,80,81,83.1428571428571,2.60950643025148
59,102,Set of Black Boxes,2024/07/23,NA,77,4 Pieces,120.00,62.00,NA,80,80,82,1.73205080756888
60,102,Set of Black Boxes,2024/07/23,NA,75,4 Pieces,120.00,62.00,NA,77,80,NA,NA
1,103,Nestle Yogurt,2024/07/23,2024/11/27,900,150 gms,70.00,62.00,65,NA,NA,NA,NA
2,103,Nestle Yogurt,2024/07/23,2024/11/27,880,150 gms,70.00,62.00,65,900,NA,NA,NA
3,103,Nestle Yogurt,2024/07/23,2024/11/27,880,150 gms,70.00,62.00,65,880,900,NA,NA
4,103,Nestle Yogurt,2024/07/23,2024/11/27,874,150 gms,70.00,62.00,65,880,880,NA,NA
5,103,Nestle Yogurt,2024/07/23,2024/11/27,862,150 gms,70.00,62.00,65,874,880,NA,NA
6,103,Nestle Yogurt,2024/07/23,2024/11/27,855,150 gms,70.00,62.00,65,862,874,NA,NA
7,103,Nestle Yogurt,2024/07/23,2024/11/27,851,150 gms,70.00,62.00,65,855,862,760.857142857143,302.777381680242
8,103,Nestle Yogurt,2024/07/23,2024/11/27,847,150 gms,70.00,62.00,65,851,855,871.714285714286,17.0559304027884
9,103,Nestle Yogurt,2024/07/23,2024/11/27,839,150 gms,70.00,62.00,65,847,851,864.142857142857,13.8735788632995
10,103,Nestle Yogurt,2024/07/23,2024/11/27,831,150 gms,70.00,62.00,65,839,847,858.285714285714,14.6936980336729
11,103,Nestle Yogurt,2024/07/23,2024/11/27,826,150 gms,70.00,62.00,65,831,839,851.285714285714,14.2911894269895
12,103,Nestle Yogurt,2024/07/23,2024/11/27,820,150 gms,70.00,62.00,65,826,831,844.428571428571,13.0365785753924
13,103,Nestle Yogurt,2024/07/23,2024/11/27,812,150 gms,70.00,62.00,65,820,826,838.428571428571,13.2647043296253
14,103,Nestle Yogurt,2024/07/23,2024/11/27,806,150 gms,70.00,62.00,65,812,820,832.285714285714,14.2327589936536
15,103,Nestle Yogurt,2024/07/23,2024/11/27,799,150 gms,70.00,62.00,65,806,812,825.857142857143,14.5307555599445
16,103,Nestle Yogurt,2024/07/23,2024/11/27,792,150 gms,70.00,62.00,65,799,806,819,14.2126704035519
17,103,Nestle Yogurt,2024/07/23,2024/11/27,784,150 gms,70.00,62.00,65,792,799,812.285714285714,14.2911894269895
18,103,Nestle Yogurt,2024/07/23,2024/11/27,780,150 gms,70.00,62.00,65,784,792,805.571428571429,15.0538715159605
19,103,Nestle Yogurt,2024/07/23,2024/11/27,774,150 gms,70.00,62.00,65,780,784,799,14.6855938479405
20,103,Nestle Yogurt,2024/07/23,2024/11/27,770,150 gms,70.00,62.00,65,774,780,792.428571428571,13.9982992164184
21,103,Nestle Yogurt,2024/07/23,2024/11/27,762,150 gms,70.00,62.00,65,770,774,786.428571428571,13.1891008394197
22,103,Nestle Yogurt,2024/07/23,2024/11/27,755,150 gms,70.00,62.00,65,762,770,780.142857142857,12.7857807925911
23,103,Nestle Yogurt,2024/07/23,2024/11/27,751,150 gms,70.00,62.00,65,755,762,773.857142857143,12.7857807925911
24,103,Nestle Yogurt,2024/07/23,2024/11/27,742,150 gms,70.00,62.00,65,751,755,768,12.4766448481419
25,103,Nestle Yogurt,2024/07/23,2024/11/27,734,150 gms,70.00,62.00,65,742,751,762,13.5523675668374
26,103,Nestle Yogurt,2024/07/23,2024/11/27,721,150 gms,70.00,62.00,65,734,742,755.428571428571,14.489733639801
27,103,Nestle Yogurt,2024/07/23,2024/11/27,702,150 gms,70.00,62.00,65,721,734,747.857142857143,16.8268492934018
28,103,Nestle Yogurt,2024/07/23,2024/11/27,684,150 gms,70.00,62.00,65,702,721,738.142857142857,21.0192655392505
29,103,Nestle Yogurt,2024/07/23,2024/11/27,655,150 gms,70.00,62.00,65,684,702,727,26.2805377925694
30,103,Nestle Yogurt,2024/07/23,2024/11/27,641,150 gms,70.00,62.00,65,655,684,712.714285714286,34.4369679545799
31,103,Nestle Yogurt,2024/07/23,2024/11/27,623,150 gms,70.00,62.00,65,641,655,697,38.8672955923958
32,103,Nestle Yogurt,2024/07/23,2024/11/27,607,150 gms,70.00,62.00,65,623,641,680,41.8170619085878
33,103,Nestle Yogurt,2024/07/23,2024/11/27,598,150 gms,70.00,62.00,65,607,623,661.857142857143,42.0334334049638
34,103,Nestle Yogurt,2024/07/23,2024/11/27,577,150 gms,70.00,62.00,65,598,607,644.285714285714,38.7716145554721
35,103,Nestle Yogurt,2024/07/23,2024/11/27,539,150 gms,70.00,62.00,65,577,598,626.428571428571,36.4776513446116
36,103,Nestle Yogurt,2024/07/23,2024/11/27,521,150 gms,70.00,62.00,65,539,577,605.714285714286,39.3899914771688
37,103,Nestle Yogurt,2024/07/23,2024/11/27,504,150 gms,70.00,62.00,65,521,539,586.571428571429,43.763977359076
38,103,Nestle Yogurt,2024/07/23,2024/11/27,487,150 gms,70.00,62.00,65,504,521,567,45.9456200306406
39,103,Nestle Yogurt,2024/07/23,2024/11/27,445,150 gms,70.00,62.00,65,487,504,547.571428571429,47.0597391367509
40,103,Nestle Yogurt,2024/07/23,2024/11/27,432,150 gms,70.00,62.00,65,445,487,524.428571428571,52.4844648216884
41,103,Nestle Yogurt,2024/07/23,2024/11/27,420,150 gms,70.00,62.00,65,432,445,500.714285714286,51.1882613031357
42,103,Nestle Yogurt,2024/07/23,2024/11/27,411,150 gms,70.00,62.00,65,420,432,478.285714285714,46.3598759191404
43,103,Nestle Yogurt,2024/07/23,2024/11/27,402,150 gms,70.00,62.00,65,411,420,460,43.5813415733538
44,103,Nestle Yogurt,2024/07/23,2024/11/27,398,150 gms,70.00,62.00,65,402,411,443,38.7642446936177
45,103,Nestle Yogurt,2024/07/23,2024/11/27,374,150 gms,70.00,62.00,65,398,402,427.857142857143,30.8622129873441
46,103,Nestle Yogurt,2024/07/23,2024/11/27,362,150 gms,70.00,62.00,65,374,398,411.714285714286,23.4287166081448
47,103,Nestle Yogurt,2024/07/23,2024/11/27,357,150 gms,70.00,62.00,65,362,374,399.857142857143,24.7415209141002
48,103,Nestle Yogurt,2024/07/23,2024/11/27,332,150 gms,70.00,62.00,65,357,362,389.142857142857,24.7415209141002
49,103,Nestle Yogurt,2024/07/23,2024/11/27,320,150 gms,70.00,62.00,65,332,357,376.571428571429,28.5181646373976
50,103,Nestle Yogurt,2024/07/23,2024/11/27,311,150 gms,70.00,62.00,65,320,332,363.571428571429,30.8537255603336
51,103,Nestle Yogurt,2024/07/23,2024/11/27,302,150 gms,70.00,62.00,65,311,320,350.571428571429,31.1333537269231
52,103,Nestle Yogurt,2024/07/23,2024/11/27,295,150 gms,70.00,62.00,65,302,311,336.857142857143,27.7153902578127
53,103,Nestle Yogurt,2024/07/23,2024/11/27,281,150 gms,70.00,62.00,65,295,302,325.571428571429,26.1078349852884
54,103,Nestle Yogurt,2024/07/23,2024/11/27,274,150 gms,70.00,62.00,65,281,295,314,25.2058194338794
55,103,Nestle Yogurt,2024/07/23,2024/11/27,270,150 gms,70.00,62.00,65,274,281,302.142857142857,20.731848055818
56,103,Nestle Yogurt,2024/07/23,2024/11/27,259,150 gms,70.00,62.00,65,270,274,293.285714285714,19.0237946242268
57,103,Nestle Yogurt,2024/07/23,2024/11/27,240,150 gms,70.00,62.00,65,259,270,284.571428571429,18.7159214116141
58,103,Nestle Yogurt,2024/07/23,2024/11/27,221,150 gms,70.00,62.00,65,240,259,274.428571428571,21.0938943998585
59,103,Nestle Yogurt,2024/07/23,2024/11/27,207,150 gms,70.00,62.00,65,221,240,262.857142857143,25.2548910868672
60,103,Nestle Yogurt,2024/07/23,2024/11/27,189,150 gms,70.00,62.00,65,207,221,NA,NA
1,104,Saffola Mayonnaise,2024/07/23,2025/01/10,350,500 gms,180.00,62.00,109,NA,NA,NA,NA
2,104,Saffola Mayonnaise,2024/07/23,2025/01/10,348,500 gms,180.00,62.00,109,350,NA,NA,NA
3,104,Saffola Mayonnaise,2024/07/23,2025/01/10,348,500 gms,180.00,62.00,109,348,350,NA,NA
4,104,Saffola Mayonnaise,2024/07/23,2025/01/10,347,500 gms,180.00,62.00,109,348,348,NA,NA
5,104,Saffola Mayonnaise,2024/07/23,2025/01/10,347,500 gms,180.00,62.00,109,347,348,NA,NA
6,104,Saffola Mayonnaise,2024/07/23,2025/01/10,344,500 gms,180.00,62.00,109,347,347,NA,NA
7,104,Saffola Mayonnaise,2024/07/23,2025/01/10,343,500 gms,180.00,62.00,109,344,347,324.714285714286,59.871290520344
8,104,Saffola Mayonnaise,2024/07/23,2025/01/10,341,500 gms,180.00,62.00,109,343,344,346.714285714286,2.42997158517582
9,104,Saffola Mayonnaise,2024/07/23,2025/01/10,341,500 gms,180.00,62.00,109,341,343,345.428571428571,2.76026223736942
10,104,Saffola Mayonnaise,2024/07/23,2025/01/10,341,500 gms,180.00,62.00,109,341,341,344.428571428571,2.93582145558064
11,104,Saffola Mayonnaise,2024/07/23,2025/01/10,340,500 gms,180.00,62.00,109,341,341,343.428571428571,2.69920623252731
12,104,Saffola Mayonnaise,2024/07/23,2025/01/10,337,500 gms,180.00,62.00,109,340,341,342.428571428571,2.43975018237133
13,104,Saffola Mayonnaise,2024/07/23,2025/01/10,337,500 gms,180.00,62.00,109,337,340,341,2.23606797749979
14,104,Saffola Mayonnaise,2024/07/23,2025/01/10,335,500 gms,180.00,62.00,109,337,337,340,2.23606797749979
15,104,Saffola Mayonnaise,2024/07/23,2025/01/10,332,500 gms,180.00,62.00,109,335,337,338.857142857143,2.47847879612821
16,104,Saffola Mayonnaise,2024/07/23,2025/01/10,331,500 gms,180.00,62.00,109,332,335,337.571428571429,3.35942171894424
17,104,Saffola Mayonnaise,2024/07/23,2025/01/10,330,500 gms,180.00,62.00,109,331,332,336.142857142857,3.76069902316805
18,104,Saffola Mayonnaise,2024/07/23,2025/01/10,330,500 gms,180.00,62.00,109,330,331,334.571428571429,3.69039938476144
19,104,Saffola Mayonnaise,2024/07/23,2025/01/10,324,500 gms,180.00,62.00,109,330,330,333.142857142857,3.1320159337915
20,104,Saffola Mayonnaise,2024/07/23,2025/01/10,324,500 gms,180.00,62.00,109,324,330,331.285714285714,4.15187851918806
21,104,Saffola Mayonnaise,2024/07/23,2025/01/10,323,500 gms,180.00,62.00,109,324,324,329.428571428571,4.07664661444276
22,104,Saffola Mayonnaise,2024/07/23,2025/01/10,322,500 gms,180.00,62.00,109,323,324,327.714285714286,3.86066858261129
23,104,Saffola Mayonnaise,2024/07/23,2025/01/10,322,500 gms,180.00,62.00,109,322,323,326.285714285714,3.86066858261129
24,104,Saffola Mayonnaise,2024/07/23,2025/01/10,321,500 gms,180.00,62.00,109,322,322,325,3.51188458428425
25,104,Saffola Mayonnaise,2024/07/23,2025/01/10,321,500 gms,180.00,62.00,109,321,322,323.714285714286,2.98408476836063
26,104,Saffola Mayonnaise,2024/07/23,2025/01/10,320,500 gms,180.00,62.00,109,321,321,322.428571428571,1.2724180205607
27,104,Saffola Mayonnaise,2024/07/23,2025/01/10,319,500 gms,180.00,62.00,109,320,321,321.857142857143,1.3451854182691
28,104,Saffola Mayonnaise,2024/07/23,2025/01/10,319,500 gms,180.00,62.00,109,319,320,321.142857142857,1.3451854182691
29,104,Saffola Mayonnaise,2024/07/23,2025/01/10,318,500 gms,180.00,62.00,109,319,319,320.571428571429,1.2724180205607
30,104,Saffola Mayonnaise,2024/07/23,2025/01/10,318,500 gms,180.00,62.00,109,318,319,320,1.4142135623731
31,104,Saffola Mayonnaise,2024/07/23,2025/01/10,317,500 gms,180.00,62.00,109,318,318,319.428571428571,1.2724180205607
32,104,Saffola Mayonnaise,2024/07/23,2025/01/10,317,500 gms,180.00,62.00,109,317,318,318.857142857143,1.3451854182691
33,104,Saffola Mayonnaise,2024/07/23,2025/01/10,316,500 gms,180.00,62.00,109,317,317,318.285714285714,1.11269728052837
34,104,Saffola Mayonnaise,2024/07/23,2025/01/10,314,500 gms,180.00,62.00,109,316,317,317.714285714286,1.11269728052837
35,104,Saffola Mayonnaise,2024/07/23,2025/01/10,314,500 gms,180.00,62.00,109,314,316,317,1.63299316185545
36,104,Saffola Mayonnaise,2024/07/23,2025/01/10,312,500 gms,180.00,62.00,109,314,314,316.285714285714,1.70433620649269
